,0,1,2
2,0.00680030114812723,50,70
4,0.008108413325804632,50,40
8,0.019779785431959362,100,25
16,0.032028985507246366,25,70
32,0.06499529456051198,25,60
64,0.10190852625635236,20,100
128,0.14095238095238097,15,90
