"Yuzuru, HANYU",38.439919383088636
"Javier, FERNANDEZ",27.616843465178135
"Nathan, CHEN",27.60670625968305
"Shoma, UNO",26.752743367645962
"Patrick, CHAN",15.395004999973935
"Denis, TEN",14.099426868318915
"Boyang, JIN",3.904858203699405
"Jason, BROWN",-11.758589285478593
"Alexei, BYCHENKO",-16.65258159608402
"Mikhail, KOLYADA",-17.805914929417668
"Maxim, KOVTUN",-22.34658277156268
"Kevin, REYNOLDS",-22.704184922764398
"Misha, GE",-24.466314325736676
"Keiji, TANAKA",-24.817807287486175
"Jorik, HENDRICKX",-28.292280570842195
"Moris, KVITELASHVILI",-31.23497213326482
"Chafik, BESSEGHIER",-35.41149857284927
"Deniss, VASILJEVS",-37.295914929407445
"Michal, BREZINA",-41.0120575017163
"Paul, FENTZ",-43.584972133261545
"Brendan, KERRY",-45.88750626224555
"Michael Christian, MARTINEZ",-48.68064920747565
"Alexander, MAJOROV",-58.771961293441564
"Julian Zhi Jie, YEE",-60.16064920747431
