,0,1,2,3,4
"LAMBIEL, BUTTLE",0.9526029151437472,-0.2630773707006872,-0.11656794966901107,-0.38314445739550285,-1.3699560394477617
"LAMBIEL, LYSACEK",-0.793702540397512,1.2047891271600621,0.17205415127532536,-0.4918068563334928,0.9921799141918158
"LAMBIEL, WEIR",-0.4267452996444859,-0.9985142745932127,-0.5768909225520162,-1.3510083137211455,0.3469168292823983
"LAMBIEL, LI",0.9802411511068791,-0.09194042361595656,0.7191258760078482,-1.6170057128885504,-0.015227635043546989
"LAMBIEL, JOUBERT",-0.48415074895180205,-1.4336659308726365,0.022232816830261015,-0.9216471292813959,1.2881397925369
"LAMBIEL, SANDHU",-0.8154108598305188,-0.6804734397796701,0.19145132814277685,1.7290364915028615,-0.9686985180400615
"LAMBIEL, VAN DER PERREN",0.41929278125062797,-0.2100653404733958,-0.17563834141710088,0.14984105065209075,-0.12873443767789275
"LAMBIEL, DAMBIER",-0.5646088502883733,2.338920020824938,1.4142369710630662,-1.5394552501744503,-1.2066717542074636
"LAMBIEL, GOEBEL",-0.41788188847037316,0.4652269295371455,-0.19196346872884074,-0.32642855919575153,-0.6591614072431348
"LAMBIEL, GRIAZEV",0.4027606363631109,-0.8881218000820204,0.11383777153334396,0.034931661453148743,1.255165282766938
"LAMBIEL, LINDEMANN",1.4318566741499257,0.1355816342302268,-2.3818055599666113,-0.2041537935443105,0.8925937258196707
"LAMBIEL, DINEV",1.427165911384589,0.5190818298588139,1.1252098053204413,-0.2917805267906594,0.8308560460957697
"LAMBIEL, BERNTSSON",0.5327524022782859,0.7817888861878324,0.6724878328825614,0.49845637866974435,0.4420555826271495
"LAMBIEL, TAKAHASHI",-2.3314311547494118,1.8008672210668066,0.6067118823677426,1.4045187066124252,0.26604463853166227
"LAMBIEL, ZHANG",2.1572148728510694,0.2642692433734367,1.725827613421486,-0.5319710096630142,-1.85262129087668
"LAMBIEL, CHIPER",0.13650960544777876,2.094371763643819,0.5171368173466109,-2.1375444537388573,1.7446900961978138
"LAMBIEL, SEROV",0.00860776377073355,0.23507373806012605,2.7455780182218943,0.9978658794689812,-1.381575281208391
"LAMBIEL, OTHMAN",0.673604854770179,0.7844826705935821,0.3731222538846745,0.8297338583242551,0.5443638177006748
"LAMBIEL, DAVYDOV",0.7962751521227183,1.1051840064220488,0.7043571344777358,0.2980830056629781,0.20901150287760462
"LAMBIEL, PFEIFER",1.1526964175380612,1.0906719467701476,1.267043698068624,0.6021258557215493,0.8112377552638261
"BUTTLE, LYSACEK",-1.7463054555412594,1.4678664978607494,0.28862210094433643,-0.10866239893798998,2.3621359536395774
"BUTTLE, WEIR",-1.3793482147882332,-0.7354369038925256,-0.46032297288300517,-0.9678638563256426,1.71687286873016
"BUTTLE, LI",0.027638235963131974,0.17113694708473065,0.8356938256768592,-1.2338612554930477,1.3547284044042147
"BUTTLE, JOUBERT",-1.4367536640955492,-1.1705885601719492,0.1388007664992721,-0.5385026718858931,2.658095831984662
"BUTTLE, SANDHU",-1.768013774974266,-0.41739606907898297,0.30801927781178795,2.1121809488983643,0.4012575214077003
"BUTTLE, VAN DER PERREN",-0.5333101338931193,0.053012030227291396,-0.05907039174808981,0.5329855080475936,1.241221601769869
"BUTTLE, DAMBIER",-1.5172117654321204,2.6019973915256256,1.530804920732077,-1.1563107927789475,0.16328428524029803
"BUTTLE, GOEBEL",-1.3704848036141204,0.7283043002378327,-0.07539551905982966,0.056715898199751286,0.710794632204627
"BUTTLE, GRIAZEV",-0.5498422787806363,-0.6250444293813332,0.23040572120235503,0.4180761188486516,2.6251213222146994
"BUTTLE, LINDEMANN",0.4792537590061784,0.398659004930914,-2.2652376102976,0.1789906638511923,2.2625497652674325
"BUTTLE, DINEV",0.47456299624084164,0.782159200559501,1.2417777549894524,0.09136393060484341,2.2008120855435314
"BUTTLE, BERNTSSON",-0.4198505128654613,1.0448662568885196,0.7890557825515725,0.8816008360652472,1.8120116220749112
"BUTTLE, TAKAHASHI",-3.284034069893159,2.063944591767494,0.7232798320367537,1.787663164007928,1.636000677979424
"BUTTLE, ZHANG",1.2046119577073222,0.527346614074124,1.8423955630904971,-0.14882655226751143,-0.48266525142891825
"BUTTLE, CHIPER",-0.8160933096959685,2.3574491343445065,0.633704767015622,-1.7543999963433548,3.1146461356455752
"BUTTLE, SEROV",-0.9439951513730137,0.49815110876081325,2.862145967890905,1.381010336864484,-0.01161924176062934
"BUTTLE, OTHMAN",-0.2789980603735682,1.0475600412942694,0.4896902035536856,1.2128783157197578,1.9143198571484366
"BUTTLE, DAVYDOV",-0.1563277630210289,1.368261377122736,0.8209250841467469,0.6812274630584809,1.5789675423253664
"BUTTLE, PFEIFER",0.2000935023943139,1.3537493174708348,1.3836116477376348,0.9852703131170522,2.181193794711588
"LYSACEK, WEIR",0.36695724075302616,-2.203303401753275,-0.7489450738273415,-0.8592014573876527,-0.6452630849094176
"LYSACEK, LI",1.7739436915043911,-1.2967295507760186,0.5470717247325227,-1.1251988565550577,-1.007407549235363
"LYSACEK, JOUBERT",0.30955179144571,-2.6384550580326986,-0.14982133444506435,-0.4298402729479031,0.2959598783450841
"LYSACEK, SANDHU",-0.021708319433006773,-1.8852625669397323,0.019397176867451488,2.2208433478363543,-1.9608784322318773
"LYSACEK, VAN DER PERREN",1.21299532164814,-1.4148544676334578,-0.34769249269242625,0.6416479069855836,-1.1209143518697087
"LYSACEK, DAMBIER",0.22909369010913871,1.1341308936648762,1.2421828197877407,-1.0476483938409575,-2.1988516683992794
