CMDLINE /home/khanhnd/anaconda3/bin/python profile_gd.py
MEM 1.785156 1573479031.8563
MEM 12.824219 1573479031.9567
MEM 20.792969 1573479032.0571
MEM 26.093750 1573479032.1575
MEM 32.144531 1573479032.2578
MEM 32.972656 1573479032.3583
MEM 33.457031 1573479032.4587
MEM 33.457031 1573479032.5590
MEM 33.457031 1573479032.6594
MEM 33.457031 1573479032.7598
MEM 33.457031 1573479032.8601
MEM 33.457031 1573479032.9607
MEM 33.457031 1573479033.0612
MEM 33.457031 1573479033.1616
MEM 33.457031 1573479033.2620
MEM 33.457031 1573479033.3624
MEM 33.457031 1573479033.4628
MEM 33.457031 1573479033.5632
MEM 33.457031 1573479033.6637
MEM 33.457031 1573479033.7641
MEM 33.457031 1573479033.8645
MEM 33.457031 1573479033.9649
MEM 33.457031 1573479034.0654
MEM 33.457031 1573479034.1659
MEM 33.457031 1573479034.2663
MEM 33.457031 1573479034.3667
MEM 33.457031 1573479034.4672
MEM 33.457031 1573479034.5676
MEM 33.457031 1573479034.6681
MEM 33.457031 1573479034.7684
MEM 33.457031 1573479034.8688
MEM 33.457031 1573479034.9692
MEM 33.457031 1573479035.0696
MEM 33.457031 1573479035.1700
MEM 33.457031 1573479035.2704
MEM 33.457031 1573479035.3709
MEM 33.457031 1573479035.4715
MEM 33.457031 1573479035.5719
MEM 33.457031 1573479035.6723
MEM 33.457031 1573479035.7727
MEM 33.457031 1573479035.8730
MEM 33.457031 1573479035.9734
MEM 33.457031 1573479036.0739
MEM 33.457031 1573479036.1743
MEM 33.457031 1573479036.2747
MEM 33.457031 1573479036.3751
MEM 33.457031 1573479036.4755
MEM 33.457031 1573479036.5759
MEM 33.457031 1573479036.6763
MEM 33.457031 1573479036.7768
MEM 33.457031 1573479036.8772
MEM 33.457031 1573479036.9777
MEM 33.457031 1573479037.0783
MEM 33.457031 1573479037.1788
MEM 33.535156 1573479037.2792
MEM 33.535156 1573479037.3797
MEM 33.535156 1573479037.4801
MEM 33.535156 1573479037.5804
MEM 33.535156 1573479037.6808
MEM 33.535156 1573479037.7812
MEM 33.535156 1573479037.8816
MEM 33.535156 1573479037.9820
MEM 33.535156 1573479038.0824
MEM 33.535156 1573479038.1828
MEM 33.535156 1573479038.2832
MEM 33.535156 1573479038.3836
MEM 33.535156 1573479038.4840
MEM 33.535156 1573479038.5844
MEM 33.535156 1573479038.6848
MEM 33.539062 1573479038.7852
MEM 33.539062 1573479038.8856
MEM 33.539062 1573479038.9860
MEM 33.539062 1573479039.0865
MEM 33.539062 1573479039.1870
MEM 33.539062 1573479039.2874
MEM 33.539062 1573479039.3879
MEM 33.539062 1573479039.4883
MEM 33.539062 1573479039.5888
MEM 33.539062 1573479039.6891
MEM 33.539062 1573479039.7895
MEM 33.539062 1573479039.8899
MEM 33.539062 1573479039.9904
MEM 33.539062 1573479040.0907
MEM 33.539062 1573479040.1911
MEM 33.539062 1573479040.2915
MEM 33.539062 1573479040.3919
MEM 33.539062 1573479040.4923
MEM 33.539062 1573479040.5927
MEM 33.539062 1573479040.6930
MEM 33.539062 1573479040.7935
MEM 33.539062 1573479040.8939
MEM 33.539062 1573479040.9944
MEM 33.539062 1573479041.0949
MEM 33.539062 1573479041.1954
MEM 33.539062 1573479041.2959
MEM 33.539062 1573479041.3963
MEM 33.539062 1573479041.4968
MEM 33.539062 1573479041.5971
MEM 33.539062 1573479041.6975
MEM 33.539062 1573479041.7979
MEM 33.539062 1573479041.8983
MEM 33.539062 1573479041.9987
