CMDLINE /home/khanhnd/anaconda3/bin/python profile_gd.py
MEM 8.417969 1573194090.1286
MEM 12.746094 1573194090.2291
MEM 18.574219 1573194090.3295
MEM 21.832031 1573194090.4313
MEM 26.089844 1573194090.5318
MEM 31.550781 1573194090.6322
MEM 32.640625 1573194090.7326
MEM 33.125000 1573194090.8332
MEM 35.769531 1573194090.9338
MEM 37.023438 1573194091.0342
MEM 37.023438 1573194091.1347
MEM 37.613281 1573194091.2351
MEM 38.246094 1573194091.3355
MEM 38.246094 1573194091.4358
MEM 38.246094 1573194091.5367
MEM 38.246094 1573194091.6373
MEM 38.492188 1573194091.7377
MEM 38.492188 1573194091.8381
MEM 38.937500 1573194091.9388
MEM 40.078125 1573194092.0392
MEM 40.093750 1573194092.1399
MEM 40.773438 1573194092.2403
MEM 43.527344 1573194092.3407
MEM 48.687500 1573194092.4412
MEM 49.464844 1573194092.5415
MEM 51.156250 1573194092.6419
MEM 56.535156 1573194092.7422
MEM 56.535156 1573194092.8426
MEM 56.535156 1573194092.9429
MEM 56.535156 1573194093.0433
MEM 56.535156 1573194093.1437
MEM 56.535156 1573194093.2441
MEM 56.535156 1573194093.3445
MEM 56.535156 1573194093.4449
MEM 56.535156 1573194093.5452
MEM 56.535156 1573194093.6456
MEM 56.535156 1573194093.7459
MEM 56.535156 1573194093.8463
MEM 56.535156 1573194093.9467
MEM 56.535156 1573194094.0470
MEM 56.535156 1573194094.1473
MEM 56.535156 1573194094.2477
MEM 56.535156 1573194094.3483
MEM 56.535156 1573194094.4487
MEM 56.535156 1573194094.5491
MEM 56.535156 1573194094.6494
MEM 56.535156 1573194094.7498
MEM 56.535156 1573194094.8502
MEM 56.535156 1573194094.9505
MEM 56.535156 1573194095.0509
MEM 56.535156 1573194095.1513
MEM 56.535156 1573194095.2517
MEM 56.535156 1573194095.3521
MEM 56.535156 1573194095.4524
MEM 56.535156 1573194095.5528
MEM 56.535156 1573194095.6531
MEM 56.535156 1573194095.7535
MEM 56.535156 1573194095.8539
MEM 56.535156 1573194095.9550
MEM 56.535156 1573194096.0555
MEM 56.535156 1573194096.1559
MEM 56.535156 1573194096.2563
MEM 56.535156 1573194096.3566
MEM 56.535156 1573194096.4569
MEM 56.535156 1573194096.5573
MEM 56.535156 1573194096.6576
MEM 56.535156 1573194096.7580
MEM 56.535156 1573194096.8583
MEM 56.535156 1573194096.9587
MEM 56.535156 1573194097.0590
MEM 56.535156 1573194097.1594
MEM 56.535156 1573194097.2597
MEM 56.535156 1573194097.3601
MEM 56.535156 1573194097.4604
MEM 56.535156 1573194097.5608
MEM 56.535156 1573194097.6612
MEM 56.535156 1573194097.7617
MEM 56.535156 1573194097.8620
MEM 56.535156 1573194097.9625
MEM 56.535156 1573194098.0628
MEM 56.535156 1573194098.1632
MEM 56.535156 1573194098.2636
MEM 56.535156 1573194098.3639
MEM 56.535156 1573194098.4643
MEM 56.535156 1573194098.5646
MEM 56.535156 1573194098.6649
MEM 56.535156 1573194098.7653
MEM 56.535156 1573194098.8656
MEM 56.535156 1573194098.9660
MEM 56.535156 1573194099.0663
MEM 56.535156 1573194099.1667
MEM 56.535156 1573194099.2670
MEM 56.535156 1573194099.3673
MEM 56.535156 1573194099.4677
MEM 56.535156 1573194099.5681
MEM 56.535156 1573194099.6685
MEM 56.535156 1573194099.7688
MEM 56.535156 1573194099.8692
MEM 56.535156 1573194099.9695
MEM 56.535156 1573194100.0700
MEM 56.535156 1573194100.1718
MEM 56.535156 1573194100.2724
MEM 56.535156 1573194100.3734
MEM 56.535156 1573194100.4743
MEM 56.535156 1573194100.5746
MEM 56.535156 1573194100.6750
MEM 56.535156 1573194100.7753
MEM 56.535156 1573194100.8757
MEM 56.535156 1573194100.9760
MEM 56.535156 1573194101.0766
MEM 56.535156 1573194101.1769
MEM 56.535156 1573194101.2773
MEM 56.535156 1573194101.3776
MEM 56.535156 1573194101.4780
MEM 56.535156 1573194101.5783
MEM 56.535156 1573194101.6786
MEM 56.535156 1573194101.7791
MEM 56.535156 1573194101.8795
MEM 56.535156 1573194101.9798
MEM 56.535156 1573194102.0802
MEM 56.535156 1573194102.1806
MEM 56.535156 1573194102.2809
MEM 56.535156 1573194102.3813
MEM 56.535156 1573194102.4817
MEM 56.535156 1573194102.5822
MEM 56.535156 1573194102.6827
MEM 56.535156 1573194102.7831
MEM 56.535156 1573194102.8835
MEM 56.535156 1573194102.9839
MEM 56.535156 1573194103.0843
MEM 56.535156 1573194103.1847
MEM 56.535156 1573194103.2851
MEM 56.535156 1573194103.3856
MEM 56.535156 1573194103.4860
MEM 56.535156 1573194103.5865
MEM 56.535156 1573194103.6869
MEM 56.535156 1573194103.7873
MEM 56.535156 1573194103.8876
MEM 56.535156 1573194103.9880
MEM 56.535156 1573194104.0884
MEM 56.535156 1573194104.1887
MEM 56.535156 1573194104.2892
MEM 56.535156 1573194104.3897
MEM 56.535156 1573194104.4901
MEM 56.535156 1573194104.5905
MEM 56.535156 1573194104.6909
MEM 56.535156 1573194104.7913
MEM 56.535156 1573194104.8917
MEM 56.535156 1573194104.9921
MEM 56.535156 1573194105.0926
MEM 56.535156 1573194105.1929
MEM 56.535156 1573194105.2933
MEM 56.535156 1573194105.3936
MEM 56.535156 1573194105.4941
MEM 56.535156 1573194105.5945
MEM 56.535156 1573194105.6949
MEM 56.535156 1573194105.7953
MEM 56.535156 1573194105.8956
MEM 56.535156 1573194105.9961
MEM 56.535156 1573194106.0965
MEM 56.535156 1573194106.1969
MEM 56.535156 1573194106.2973
MEM 56.535156 1573194106.3978
MEM 56.535156 1573194106.4982
MEM 56.535156 1573194106.5987
MEM 56.535156 1573194106.6991
MEM 56.535156 1573194106.7995
MEM 56.535156 1573194106.8999
MEM 56.535156 1573194107.0003
MEM 56.535156 1573194107.1008
MEM 56.535156 1573194107.2012
MEM 56.535156 1573194107.3016
MEM 56.535156 1573194107.4020
MEM 56.535156 1573194107.5025
MEM 56.535156 1573194107.6029
MEM 56.535156 1573194107.7033
MEM 56.535156 1573194107.8038
MEM 56.535156 1573194107.9042
MEM 56.535156 1573194108.0047
MEM 56.535156 1573194108.1051
MEM 56.535156 1573194108.2056
MEM 56.535156 1573194108.3068
MEM 56.535156 1573194108.4077
MEM 56.535156 1573194108.5081
MEM 56.535156 1573194108.6085
MEM 56.535156 1573194108.7090
MEM 56.535156 1573194108.8094
MEM 56.535156 1573194108.9098
MEM 56.535156 1573194109.0102
MEM 56.535156 1573194109.1107
MEM 56.535156 1573194109.2112
MEM 56.535156 1573194109.3115
MEM 56.535156 1573194109.4126
MEM 56.535156 1573194109.5130
MEM 56.535156 1573194109.6134
MEM 56.535156 1573194109.7138
MEM 56.535156 1573194109.8142
MEM 56.535156 1573194109.9146
MEM 56.535156 1573194110.0151
MEM 56.535156 1573194110.1155
MEM 56.535156 1573194110.2159
MEM 56.535156 1573194110.3163
MEM 56.535156 1573194110.4167
MEM 56.535156 1573194110.5171
MEM 56.535156 1573194110.6176
MEM 56.535156 1573194110.7180
MEM 56.535156 1573194110.8185
MEM 56.535156 1573194110.9189
MEM 56.535156 1573194111.0193
MEM 56.535156 1573194111.1197
MEM 56.535156 1573194111.2202
MEM 56.535156 1573194111.3206
MEM 56.535156 1573194111.4210
MEM 56.535156 1573194111.5214
MEM 56.535156 1573194111.6217
MEM 56.535156 1573194111.7221
MEM 56.535156 1573194111.8225
MEM 56.535156 1573194111.9228
MEM 56.535156 1573194112.0232
MEM 56.535156 1573194112.1235
MEM 56.535156 1573194112.2239
MEM 56.535156 1573194112.3243
MEM 56.535156 1573194112.4247
MEM 56.535156 1573194112.5251
MEM 56.535156 1573194112.6269
MEM 56.535156 1573194112.7275
MEM 56.535156 1573194112.8279
MEM 56.535156 1573194112.9283
MEM 56.535156 1573194113.0287
MEM 56.535156 1573194113.1291
MEM 56.535156 1573194113.2295
MEM 56.535156 1573194113.3309
MEM 56.535156 1573194113.4314
MEM 56.535156 1573194113.5319
MEM 56.535156 1573194113.6323
MEM 56.535156 1573194113.7328
MEM 56.535156 1573194113.8332
MEM 56.535156 1573194113.9336
MEM 56.535156 1573194114.0340
MEM 56.535156 1573194114.1345
MEM 56.535156 1573194114.2349
MEM 56.535156 1573194114.3353
MEM 56.535156 1573194114.4357
MEM 56.535156 1573194114.5361
MEM 56.535156 1573194114.6365
MEM 56.535156 1573194114.7369
MEM 56.535156 1573194114.8374
MEM 56.535156 1573194114.9378
MEM 56.535156 1573194115.0382
MEM 56.535156 1573194115.1387
MEM 56.535156 1573194115.2391
MEM 56.535156 1573194115.3395
MEM 56.535156 1573194115.4400
MEM 56.535156 1573194115.5404
MEM 56.535156 1573194115.6408
MEM 56.535156 1573194115.7413
MEM 56.535156 1573194115.8417
MEM 56.535156 1573194115.9421
MEM 56.535156 1573194116.0425
MEM 56.535156 1573194116.1429
MEM 56.535156 1573194116.2433
MEM 56.535156 1573194116.3437
MEM 56.535156 1573194116.4440
MEM 56.535156 1573194116.5444
MEM 56.535156 1573194116.6448
MEM 56.535156 1573194116.7452
MEM 56.535156 1573194116.8456
MEM 56.535156 1573194116.9460
MEM 56.535156 1573194117.0465
MEM 56.535156 1573194117.1469
MEM 56.535156 1573194117.2473
MEM 56.535156 1573194117.3477
MEM 56.535156 1573194117.4481
MEM 56.535156 1573194117.5486
MEM 56.535156 1573194117.6490
MEM 56.535156 1573194117.7495
MEM 56.535156 1573194117.8499
MEM 56.535156 1573194117.9503
MEM 56.535156 1573194118.0506
MEM 56.535156 1573194118.1510
MEM 56.535156 1573194118.2513
MEM 56.535156 1573194118.3517
MEM 56.535156 1573194118.4520
MEM 56.535156 1573194118.5524
MEM 56.535156 1573194118.6527
MEM 56.535156 1573194118.7531
MEM 56.535156 1573194118.8534
MEM 56.535156 1573194118.9538
MEM 56.535156 1573194119.0541
MEM 56.535156 1573194119.1545
MEM 56.535156 1573194119.2549
MEM 56.535156 1573194119.3552
MEM 56.535156 1573194119.4556
MEM 56.535156 1573194119.5559
MEM 56.535156 1573194119.6563
MEM 56.535156 1573194119.7567
MEM 56.535156 1573194119.8571
MEM 56.535156 1573194119.9575
MEM 56.535156 1573194120.0578
MEM 56.535156 1573194120.1588
MEM 56.535156 1573194120.2591
MEM 56.535156 1573194120.3601
MEM 56.535156 1573194120.4606
MEM 56.535156 1573194120.5610
MEM 56.535156 1573194120.6614
MEM 56.535156 1573194120.7618
MEM 56.535156 1573194120.8634
MEM 56.535156 1573194120.9638
MEM 56.535156 1573194121.0641
MEM 56.535156 1573194121.1645
MEM 56.535156 1573194121.2649
MEM 56.535156 1573194121.3652
MEM 56.535156 1573194121.4656
MEM 56.535156 1573194121.5660
MEM 56.535156 1573194121.6663
MEM 56.535156 1573194121.7667
MEM 56.535156 1573194121.8670
MEM 56.535156 1573194121.9674
MEM 56.535156 1573194122.0677
MEM 56.535156 1573194122.1680
MEM 56.535156 1573194122.2684
MEM 56.535156 1573194122.3687
MEM 56.535156 1573194122.4691
MEM 56.535156 1573194122.5694
MEM 56.535156 1573194122.6697
MEM 56.535156 1573194122.7702
MEM 56.535156 1573194122.8706
MEM 56.535156 1573194122.9709
MEM 56.535156 1573194123.0713
MEM 56.535156 1573194123.1717
MEM 56.535156 1573194123.2720
MEM 56.535156 1573194123.3724
MEM 56.535156 1573194123.4728
MEM 56.535156 1573194123.5731
MEM 56.535156 1573194123.6735
MEM 56.535156 1573194123.7738
MEM 56.535156 1573194123.8742
MEM 56.535156 1573194123.9746
MEM 56.535156 1573194124.0749
MEM 56.535156 1573194124.1753
MEM 56.535156 1573194124.2756
