CMDLINE /home/khanhnd/anaconda3/bin/python profile_gd.py
MEM 1.800781 1573478862.8603
MEM 13.031250 1573478862.9608
MEM 20.781250 1573478863.0612
MEM 26.152344 1573478863.1616
MEM 32.105469 1573478863.2620
MEM 36.359375 1573478863.3624
MEM 40.406250 1573478863.4627
MEM 41.449219 1573478863.5632
MEM 49.125000 1573478863.6635
MEM 69.960938 1573478863.7640
MEM 106.902344 1573478863.8644
MEM 106.972656 1573478863.9649
MEM 106.972656 1573478864.0654
MEM 108.695312 1573478864.1661
MEM 108.695312 1573478864.2666
MEM 108.695312 1573478864.3670
MEM 108.695312 1573478864.4674
MEM 108.695312 1573478864.5677
MEM 108.695312 1573478864.6681
MEM 108.695312 1573478864.7685
MEM 108.695312 1573478864.8689
MEM 108.695312 1573478864.9693
MEM 108.695312 1573478865.0697
MEM 108.695312 1573478865.1700
MEM 108.695312 1573478865.2704
MEM 108.695312 1573478865.3708
MEM 108.695312 1573478865.4712
MEM 108.695312 1573478865.5716
MEM 108.695312 1573478865.6720
MEM 108.695312 1573478865.7724
MEM 108.695312 1573478865.8728
MEM 108.695312 1573478865.9731
MEM 108.695312 1573478866.0735
MEM 108.695312 1573478866.1739
MEM 108.695312 1573478866.2743
MEM 108.695312 1573478866.3746
MEM 108.695312 1573478866.4750
MEM 108.695312 1573478866.5754
MEM 108.695312 1573478866.6757
MEM 108.695312 1573478866.7761
MEM 108.695312 1573478866.8764
MEM 108.695312 1573478866.9768
MEM 108.695312 1573478867.0772
MEM 108.695312 1573478867.1777
MEM 108.695312 1573478867.2781
MEM 108.695312 1573478867.3785
MEM 108.695312 1573478867.4789
MEM 108.695312 1573478867.5792
MEM 108.695312 1573478867.6796
MEM 108.695312 1573478867.7800
MEM 108.695312 1573478867.8804
MEM 108.695312 1573478867.9808
MEM 108.695312 1573478868.0813
MEM 108.695312 1573478868.1818
MEM 108.695312 1573478868.2822
MEM 108.695312 1573478868.3826
MEM 108.695312 1573478868.4831
MEM 108.695312 1573478868.5835
MEM 108.695312 1573478868.6839
MEM 108.695312 1573478868.7844
MEM 108.695312 1573478868.8848
MEM 108.695312 1573478868.9852
MEM 108.695312 1573478869.0857
MEM 108.695312 1573478869.1860
MEM 108.695312 1573478869.2864
MEM 108.695312 1573478869.3868
MEM 108.695312 1573478869.4872
MEM 108.695312 1573478869.5875
MEM 108.695312 1573478869.6879
MEM 108.695312 1573478869.7883
MEM 108.695312 1573478869.8887
MEM 108.695312 1573478869.9891
MEM 108.695312 1573478870.0895
MEM 108.695312 1573478870.1899
MEM 108.695312 1573478870.2903
MEM 108.695312 1573478870.3906
MEM 108.695312 1573478870.4910
MEM 108.695312 1573478870.5914
MEM 108.695312 1573478870.6918
MEM 108.695312 1573478870.7922
MEM 108.695312 1573478870.8925
MEM 108.695312 1573478870.9929
MEM 108.695312 1573478871.0933
MEM 108.695312 1573478871.1937
MEM 108.695312 1573478871.2941
MEM 108.695312 1573478871.3945
MEM 87.433594 1573478871.4949
MEM 143.636719 1573478871.5954
MEM 177.152344 1573478871.6958
MEM 185.144531 1573478871.7962
MEM 200.613281 1573478871.8967
MEM 224.589844 1573478871.9972
MEM 245.472656 1573478872.0976
MEM 245.472656 1573478872.1980
MEM 245.472656 1573478872.2986
MEM 280.273438 1573478872.3991
MEM 363.675781 1573478872.4996
MEM 426.597656 1573478872.6001
MEM 454.679688 1573478872.7006
MEM 497.828125 1573478872.8011
MEM 509.441406 1573478872.9016
MEM 509.441406 1573478873.0022
MEM 514.597656 1573478873.3793
MEM 514.597656 1573478873.4797
MEM 514.597656 1573478873.5801
MEM 514.597656 1573478873.6805
MEM 514.597656 1573478873.7808
MEM 514.597656 1573478873.8812
MEM 514.226562 1573478873.9817
MEM 514.214844 1573478874.0821
MEM 514.214844 1573478874.1825
MEM 514.214844 1573478874.2828
MEM 514.214844 1573478874.3831
MEM 514.214844 1573478874.4835
MEM 514.214844 1573478874.5839
MEM 514.214844 1573478874.6844
MEM 514.214844 1573478874.7847
MEM 514.214844 1573478874.8851
MEM 514.214844 1573478874.9856
MEM 514.214844 1573478875.0860
MEM 514.214844 1573478875.1863
MEM 514.214844 1573478875.2867
MEM 514.578125 1573478875.3870
MEM 514.578125 1573478875.4875
MEM 514.578125 1573478875.5880
MEM 514.578125 1573478875.6884
MEM 514.578125 1573478875.7888
MEM 514.578125 1573478875.8892
MEM 514.578125 1573478875.9896
MEM 514.578125 1573478876.0899
MEM 514.558594 1573478876.1903
MEM 514.558594 1573478876.2908
MEM 514.558594 1573478876.3912
MEM 514.558594 1573478876.4916
MEM 514.546875 1573478876.5920
MEM 514.546875 1573478876.6925
MEM 514.546875 1573478876.7929
MEM 514.546875 1573478876.8933
MEM 514.546875 1573478876.9937
MEM 514.546875 1573478877.0941
MEM 514.546875 1573478877.1945
MEM 514.546875 1573478877.2949
MEM 514.546875 1573478877.3953
MEM 514.546875 1573478877.4957
MEM 514.546875 1573478877.5961
MEM 514.546875 1573478877.6965
MEM 514.546875 1573478877.7968
MEM 514.546875 1573478877.8972
MEM 514.546875 1573478877.9977
MEM 514.546875 1573478878.0981
MEM 514.546875 1573478878.1985
MEM 514.546875 1573478878.2989
MEM 514.546875 1573478878.3993
MEM 514.546875 1573478878.4998
MEM 514.546875 1573478878.6001
MEM 514.546875 1573478878.7005
MEM 514.546875 1573478878.8008
MEM 514.546875 1573478878.9012
MEM 514.546875 1573478879.0016
MEM 514.546875 1573478879.1020
MEM 514.546875 1573478879.2024
MEM 514.546875 1573478879.3029
MEM 514.546875 1573478879.4033
MEM 514.546875 1573478879.5037
MEM 514.546875 1573478879.6041
MEM 514.546875 1573478879.7045
MEM 514.546875 1573478879.8049
MEM 514.546875 1573478879.9055
MEM 514.546875 1573478880.0059
MEM 514.546875 1573478880.1062
MEM 514.546875 1573478880.2066
MEM 514.546875 1573478880.3070
MEM 514.546875 1573478880.4074
MEM 514.546875 1573478880.5080
MEM 514.546875 1573478880.6085
MEM 516.218750 1573478880.7088
MEM 516.218750 1573478880.8092
MEM 516.218750 1573478880.9096
MEM 516.218750 1573478881.0101
MEM 516.218750 1573478881.1105
MEM 516.218750 1573478881.2109
MEM 516.218750 1573478881.3114
MEM 516.218750 1573478881.4118
MEM 516.218750 1573478881.5122
MEM 516.218750 1573478881.6127
MEM 516.218750 1573478881.7131
MEM 516.218750 1573478881.8135
MEM 516.218750 1573478881.9139
MEM 516.218750 1573478882.0143
MEM 516.214844 1573478882.1147
MEM 516.214844 1573478882.2152
MEM 516.214844 1573478882.3157
MEM 516.214844 1573478882.4162
MEM 516.214844 1573478882.5166
MEM 516.214844 1573478882.6169
MEM 516.214844 1573478882.7173
MEM 516.214844 1573478882.8177
MEM 516.214844 1573478882.9181
MEM 516.214844 1573478883.0185
MEM 516.214844 1573478883.1189
MEM 516.214844 1573478883.2194
MEM 516.214844 1573478883.3198
MEM 516.214844 1573478883.4203
MEM 516.214844 1573478883.5207
MEM 516.140625 1573478883.6211
MEM 516.140625 1573478883.7216
MEM 516.140625 1573478883.8221
MEM 516.140625 1573478883.9226
MEM 516.128906 1573478884.0231
MEM 516.128906 1573478884.1235
MEM 516.128906 1573478884.2239
MEM 516.128906 1573478884.3242
MEM 516.128906 1573478884.4247
MEM 516.128906 1573478884.5251
MEM 516.128906 1573478884.6255
MEM 516.128906 1573478884.7259
MEM 516.128906 1573478884.8263
MEM 516.128906 1573478884.9268
MEM 516.128906 1573478885.0272
MEM 516.128906 1573478885.1276
MEM 516.128906 1573478885.2281
MEM 516.128906 1573478885.3285
MEM 516.128906 1573478885.4289
MEM 516.128906 1573478885.5293
MEM 516.128906 1573478885.6297
MEM 516.128906 1573478885.7301
MEM 516.128906 1573478885.8305
MEM 516.128906 1573478885.9309
MEM 516.128906 1573478886.0313
MEM 516.128906 1573478886.1316
MEM 516.128906 1573478886.2320
MEM 516.128906 1573478886.3325
MEM 516.128906 1573478886.4329
MEM 516.125000 1573478886.5333
MEM 516.062500 1573478886.6337
MEM 516.062500 1573478886.7341
MEM 516.062500 1573478886.8345
MEM 516.062500 1573478886.9348
MEM 516.062500 1573478887.0352
MEM 516.062500 1573478887.1357
MEM 516.062500 1573478887.2362
MEM 516.062500 1573478887.3366
MEM 516.062500 1573478887.4369
MEM 516.062500 1573478887.5375
MEM 516.062500 1573478887.6379
MEM 516.062500 1573478887.7385
MEM 516.062500 1573478887.8389
MEM 516.062500 1573478887.9396
MEM 516.062500 1573478888.0402
MEM 516.062500 1573478888.1406
MEM 516.062500 1573478888.2410
MEM 516.062500 1573478888.3413
MEM 516.062500 1573478888.4417
MEM 516.062500 1573478888.5422
MEM 516.062500 1573478888.6427
MEM 516.062500 1573478888.7434
MEM 516.062500 1573478888.8440
MEM 516.062500 1573478888.9445
MEM 516.062500 1573478889.0449
MEM 516.062500 1573478889.1453
MEM 516.062500 1573478889.2458
MEM 516.062500 1573478889.3462
MEM 516.062500 1573478889.4468
MEM 516.062500 1573478889.5472
MEM 516.062500 1573478889.6476
MEM 516.062500 1573478889.7481
MEM 547.214844 1573478889.8486
MEM 558.917969 1573478889.9492
MEM 558.917969 1573478890.0498
MEM 558.917969 1573478890.1501
MEM 558.917969 1573478890.2506
MEM 558.917969 1573478890.3509
MEM 558.917969 1573478890.4514
MEM 558.917969 1573478890.5520
MEM 558.917969 1573478890.6524
MEM 561.238281 1573478890.7529
MEM 565.363281 1573478890.8533
MEM 572.066406 1573478890.9539
MEM 571.992188 1573478891.0543
MEM 571.593750 1573478891.1547
MEM 571.593750 1573478891.2552
MEM 571.593750 1573478891.3557
MEM 595.054688 1573478891.4562
MEM 595.054688 1573478891.5567
MEM 595.054688 1573478891.6571
MEM 595.054688 1573478891.7576
MEM 595.054688 1573478891.8579
MEM 610.523438 1573478891.9584
MEM 615.937500 1573478892.0589
MEM 615.937500 1573478892.1592
MEM 615.937500 1573478892.2596
MEM 615.937500 1573478892.3601
MEM 615.937500 1573478892.4605
MEM 618.574219 1573478892.5610
MEM 618.550781 1573478892.6613
MEM 631.699219 1573478892.7617
MEM 631.699219 1573478892.8621
MEM 631.699219 1573478892.9625
MEM 631.699219 1573478893.0629
MEM 631.699219 1573478893.1634
MEM 631.667969 1573478893.2638
MEM 641.441406 1573478893.3642
MEM 640.386719 1573478893.4646
MEM 659.207031 1573478893.5651
MEM 661.269531 1573478893.6655
MEM 660.941406 1573478893.7659
MEM 660.929688 1573478893.8671
MEM 660.929688 1573478893.9676
MEM 660.929688 1573478894.0680
MEM 660.929688 1573478894.1684
MEM 660.929688 1573478894.2688
MEM 660.929688 1573478894.3693
MEM 660.929688 1573478894.4697
MEM 671.199219 1573478894.5701
MEM 671.199219 1573478894.6704
MEM 671.199219 1573478894.7707
MEM 671.199219 1573478894.8712
MEM 671.085938 1573478894.9717
MEM 671.085938 1573478895.0721
MEM 671.085938 1573478895.1726
MEM 671.085938 1573478895.2730
MEM 671.085938 1573478895.3734
MEM 671.085938 1573478895.4738
MEM 671.085938 1573478895.5742
MEM 671.085938 1573478895.6747
MEM 671.035156 1573478895.7751
MEM 671.035156 1573478895.8755
MEM 671.035156 1573478895.9758
MEM 671.035156 1573478896.0762
MEM 671.035156 1573478896.1766
MEM 671.035156 1573478896.2769
MEM 671.035156 1573478896.3773
MEM 671.035156 1573478896.4777
MEM 671.035156 1573478896.5781
MEM 671.035156 1573478896.6784
MEM 671.035156 1573478896.7788
MEM 671.035156 1573478896.8792
MEM 671.035156 1573478896.9796
MEM 671.035156 1573478897.0799
MEM 671.035156 1573478897.1803
MEM 671.035156 1573478897.2806
MEM 671.035156 1573478897.3810
MEM 671.035156 1573478897.4813
MEM 671.035156 1573478897.5817
MEM 671.035156 1573478897.6821
MEM 671.035156 1573478897.7825
MEM 671.035156 1573478897.8829
MEM 671.035156 1573478897.9832
MEM 671.035156 1573478898.0836
MEM 671.035156 1573478898.1839
MEM 671.035156 1573478898.2843
MEM 671.035156 1573478898.3847
MEM 671.035156 1573478898.4851
MEM 671.035156 1573478898.5855
MEM 671.035156 1573478898.6858
MEM 671.035156 1573478898.7862
MEM 671.035156 1573478898.8866
MEM 671.035156 1573478898.9871
MEM 671.035156 1573478899.0874
MEM 671.035156 1573478899.1877
MEM 671.035156 1573478899.2881
MEM 671.035156 1573478899.3884
MEM 671.035156 1573478899.4888
MEM 671.035156 1573478899.5892
MEM 671.035156 1573478899.6896
MEM 671.035156 1573478899.7900
MEM 671.035156 1573478899.8905
MEM 671.035156 1573478899.9909
MEM 671.035156 1573478900.0912
MEM 677.738281 1573478900.1916
MEM 677.726562 1573478900.2920
MEM 677.726562 1573478900.3923
MEM 677.726562 1573478900.4927
MEM 677.726562 1573478900.5931
MEM 677.726562 1573478900.6935
MEM 677.726562 1573478900.7939
MEM 677.726562 1573478900.8943
MEM 677.726562 1573478900.9946
MEM 677.726562 1573478901.0950
MEM 677.984375 1573478901.1955
MEM 679.015625 1573478901.2959
MEM 679.015625 1573478901.3962
MEM 679.015625 1573478901.4966
MEM 679.015625 1573478901.5970
MEM 683.914062 1573478901.6974
MEM 685.976562 1573478901.7977
MEM 685.972656 1573478901.8981
MEM 685.261719 1573478901.9985
MEM 685.261719 1573478902.0989
MEM 685.261719 1573478902.1994
MEM 685.261719 1573478902.2997
MEM 685.261719 1573478902.4002
MEM 685.261719 1573478902.5005
MEM 685.261719 1573478902.6009
MEM 685.261719 1573478902.7012
MEM 685.261719 1573478902.8017
MEM 685.261719 1573478902.9022
MEM 685.261719 1573478903.0026
MEM 685.261719 1573478903.1030
MEM 685.261719 1573478903.2034
MEM 685.261719 1573478903.3038
MEM 685.261719 1573478903.4043
MEM 685.261719 1573478903.5047
MEM 685.261719 1573478903.6051
MEM 694.285156 1573478903.7056
MEM 699.957031 1573478903.8060
MEM 699.957031 1573478903.9064
MEM 699.957031 1573478904.0068
MEM 699.957031 1573478904.1072
MEM 699.957031 1573478904.2075
MEM 699.957031 1573478904.3079
MEM 699.957031 1573478904.4082
MEM 699.957031 1573478904.5087
MEM 699.957031 1573478904.6092
MEM 699.957031 1573478904.7095
