CMDLINE /home/khanhnd/anaconda3/bin/python profile_gd.py
MEM 1.773438 1574428419.6481
MEM 13.117188 1574428419.7486
MEM 20.972656 1574428419.8490
MEM 26.398438 1574428419.9494
MEM 32.355469 1574428420.0498
MEM 47.324219 1574428420.1502
MEM 60.699219 1574428420.2507
MEM 60.699219 1574428420.3511
MEM 60.699219 1574428420.4515
MEM 60.699219 1574428420.5519
MEM 60.699219 1574428420.6522
MEM 60.699219 1574428420.7525
MEM 60.699219 1574428420.8529
MEM 60.699219 1574428420.9532
MEM 60.699219 1574428421.0536
MEM 60.699219 1574428421.1539
MEM 60.699219 1574428421.2544
MEM 60.699219 1574428421.3550
MEM 60.699219 1574428421.4554
MEM 60.699219 1574428421.5558
MEM 60.699219 1574428421.6562
MEM 60.699219 1574428421.7569
MEM 60.699219 1574428421.8573
MEM 60.699219 1574428421.9577
MEM 60.699219 1574428422.0582
MEM 60.699219 1574428422.1586
MEM 60.699219 1574428422.2589
MEM 60.699219 1574428422.3593
MEM 60.699219 1574428422.4597
MEM 60.699219 1574428422.5601
MEM 60.699219 1574428422.6604
MEM 60.699219 1574428422.7609
MEM 60.699219 1574428422.8615
MEM 60.699219 1574428422.9619
MEM 60.699219 1574428423.0623
MEM 60.699219 1574428423.1627
MEM 60.699219 1574428423.2638
MEM 60.699219 1574428423.3649
MEM 60.699219 1574428423.4653
MEM 60.699219 1574428423.5656
MEM 60.699219 1574428423.6661
MEM 60.699219 1574428423.7678
MEM 60.699219 1574428423.8683
MEM 60.699219 1574428423.9688
MEM 60.699219 1574428424.0693
MEM 60.699219 1574428424.1698
MEM 60.699219 1574428424.2703
MEM 60.699219 1574428424.3707
MEM 60.699219 1574428424.4711
MEM 60.699219 1574428424.5716
MEM 60.699219 1574428424.6721
FUNC __main__.naive_gradient_descent 52.1289 1574428420.1906 60.6992 1574428426.8242 0
FUNC __main__.broadcast_gradient_descent 55.4297 1574428426.8248 86.8047 1574428426.9096 0
MEM 60.699219 1574428424.7727
MEM 60.699219 1574428424.8731
MEM 60.699219 1574428424.9736
MEM 60.699219 1574428425.0739
MEM 60.699219 1574428425.1744
MEM 60.699219 1574428425.2748
MEM 60.699219 1574428425.3751
MEM 60.699219 1574428425.4755
MEM 60.699219 1574428425.5759
MEM 60.699219 1574428425.6763
MEM 60.699219 1574428425.7767
MEM 60.699219 1574428425.8770
MEM 60.699219 1574428425.9773
MEM 60.699219 1574428426.0777
MEM 60.699219 1574428426.1782
MEM 60.699219 1574428426.2786
MEM 60.699219 1574428426.3790
MEM 60.699219 1574428426.4794
MEM 60.699219 1574428426.5798
MEM 60.699219 1574428426.6801
MEM 60.699219 1574428426.7804
MEM 73.585938 1574428426.8809
