CMDLINE /home/khanhnd/anaconda3/bin/python profile_gd.py
MEM 1.886719 1573194485.7830
MEM 12.652344 1573194485.8835
MEM 18.417969 1573194485.9859
MEM 23.496094 1573194486.0865
MEM 29.148438 1573194486.1869
MEM 37.800781 1573194486.2873
MEM 51.937500 1573194486.3877
MEM 56.835938 1573194486.4882
MEM 56.835938 1573194486.5887
MEM 56.835938 1573194486.6892
MEM 56.835938 1573194486.7896
MEM 56.835938 1573194486.8900
MEM 56.835938 1573194486.9905
MEM 56.835938 1573194487.0909
MEM 56.835938 1573194487.1912
MEM 56.835938 1573194487.2916
MEM 56.835938 1573194487.3920
MEM 56.835938 1573194487.4924
MEM 56.835938 1573194487.5928
MEM 56.835938 1573194487.6932
MEM 56.835938 1573194487.7936
MEM 56.835938 1573194487.8941
MEM 56.835938 1573194487.9945
MEM 56.835938 1573194488.0950
MEM 56.835938 1573194488.1954
MEM 56.835938 1573194488.2958
MEM 56.835938 1573194488.3962
MEM 56.835938 1573194488.4966
MEM 56.835938 1573194488.5970
MEM 56.835938 1573194488.6973
MEM 56.835938 1573194488.7977
MEM 56.835938 1573194488.8981
MEM 56.835938 1573194488.9986
MEM 56.835938 1573194489.0989
MEM 56.835938 1573194489.1993
MEM 56.835938 1573194489.2997
MEM 56.835938 1573194489.4001
MEM 56.835938 1573194489.5005
MEM 56.835938 1573194489.6009
MEM 56.835938 1573194489.7014
MEM 56.835938 1573194489.8018
MEM 56.835938 1573194489.9021
MEM 56.835938 1573194490.0026
MEM 56.835938 1573194490.1030
MEM 56.835938 1573194490.2033
MEM 56.835938 1573194490.3037
MEM 56.835938 1573194490.4042
MEM 56.835938 1573194490.5046
MEM 56.835938 1573194490.6050
MEM 56.835938 1573194490.7054
MEM 56.835938 1573194490.8058
FUNC __main__.naive_gradient_descent 51.4141 1573194486.3861 56.8359 1573194492.6976 0
FUNC __main__.broadcast_gradient_descent 51.5000 1573194492.6981 83.9258 1573194492.8067 0
MEM 56.835938 1573194490.9063
MEM 56.835938 1573194491.0068
MEM 56.835938 1573194491.1073
MEM 56.835938 1573194491.2078
MEM 56.835938 1573194491.3082
MEM 56.835938 1573194491.4087
MEM 56.835938 1573194491.5091
MEM 56.835938 1573194491.6096
MEM 56.835938 1573194491.7101
MEM 56.835938 1573194491.8106
MEM 56.835938 1573194491.9111
MEM 56.835938 1573194492.0116
MEM 56.835938 1573194492.1121
MEM 56.835938 1573194492.2126
MEM 56.835938 1573194492.3130
MEM 56.835938 1573194492.4135
MEM 56.835938 1573194492.5139
MEM 56.835938 1573194492.6145
MEM 59.230469 1573194492.7149
MEM 59.800781 1573194492.8154
