,"Alexander, MAJOROV","Alexander, PETROV","Valtter, VIRTANEN","Yuzuru, HANYU",CA,CN,EU,FN,FR,JP,RU,US,score
1754,0,0,0,1,1,0,0,0,0,0,0,0,263.06
1759,0,1,0,0,1,0,0,0,0,0,0,0,224.39
1787,1,0,0,0,0,0,0,0,0,0,1,0,192.14
1793,0,1,0,0,0,1,0,0,0,0,0,0,228.44
1798,0,0,0,1,0,0,0,0,0,1,0,0,301.47
1809,0,0,0,1,0,0,0,1,0,0,0,0,293.9
1825,1,0,0,0,0,0,1,0,0,0,0,0,217.98
1837,0,0,1,0,0,0,1,0,0,0,0,0,164.09
1840,0,0,0,1,0,0,0,0,0,0,0,0,303.71
