CMDLINE /home/khanhnd/anaconda3/bin/python profile_gd.py
MEM 1.785156 1573477592.4397
MEM 12.632812 1573477592.5401
MEM 20.832031 1573477592.6405
MEM 26.253906 1573477592.7409
MEM 32.136719 1573477592.8413
MEM 38.726562 1573477592.9417
MEM 39.613281 1573477593.0421
MEM 46.937500 1573477593.1426
MEM 50.054688 1573477593.2430
MEM 60.488281 1573477593.3434
MEM 60.488281 1573477593.4438
MEM 60.488281 1573477593.5442
MEM 60.488281 1573477593.6447
MEM 60.488281 1573477593.7452
MEM 60.488281 1573477593.8456
MEM 60.488281 1573477593.9461
MEM 60.488281 1573477594.0467
MEM 60.488281 1573477594.1471
MEM 60.488281 1573477594.2486
MEM 60.488281 1573477594.3491
MEM 60.488281 1573477594.4495
MEM 60.488281 1573477594.5499
MEM 60.488281 1573477594.6503
MEM 60.488281 1573477594.7506
MEM 60.488281 1573477594.8510
MEM 60.488281 1573477594.9514
MEM 60.488281 1573477595.0518
MEM 60.488281 1573477595.1521
MEM 60.488281 1573477595.2525
MEM 60.488281 1573477595.3530
MEM 60.488281 1573477595.4534
MEM 60.488281 1573477595.5539
MEM 60.488281 1573477595.6543
MEM 60.488281 1573477595.7548
MEM 60.488281 1573477595.8552
MEM 60.488281 1573477595.9557
MEM 60.488281 1573477596.0561
MEM 60.488281 1573477596.1566
MEM 60.488281 1573477596.2571
MEM 60.488281 1573477596.3576
MEM 60.488281 1573477596.4581
MEM 60.488281 1573477596.5585
MEM 60.488281 1573477596.6590
MEM 60.488281 1573477596.7594
MEM 60.488281 1573477596.8598
MEM 60.488281 1573477596.9603
MEM 60.488281 1573477597.0608
MEM 60.488281 1573477597.1613
MEM 60.488281 1573477597.2618
MEM 60.488281 1573477597.3623
MEM 60.488281 1573477597.4626
FUNC __main__.naive_gradient_descent 51.7812 1573477593.2689 55.2188 1573477599.6439 0
FUNC __main__.broadcast_gradient_descent 55.2188 1573477599.6441 67.2773 1573477599.7552 0
MEM 60.488281 1573477597.5631
MEM 60.488281 1573477597.6635
MEM 60.488281 1573477597.7640
MEM 60.488281 1573477597.8643
MEM 60.488281 1573477597.9646
MEM 60.488281 1573477598.0650
MEM 60.488281 1573477598.1654
MEM 60.488281 1573477598.2658
MEM 60.488281 1573477598.3662
MEM 60.488281 1573477598.4666
MEM 60.488281 1573477598.5670
MEM 60.488281 1573477598.6673
MEM 60.488281 1573477598.7677
MEM 60.488281 1573477598.8681
MEM 60.488281 1573477598.9684
MEM 60.488281 1573477599.0688
MEM 60.488281 1573477599.1691
MEM 60.488281 1573477599.2695
MEM 60.488281 1573477599.3699
MEM 60.488281 1573477599.4702
MEM 60.488281 1573477599.5706
MEM 70.078125 1573477599.6712
MEM 67.277344 1573477599.7717
