CMDLINE /home/khanhnd/anaconda3/bin/python profile_gd.py
MEM 1.843750 1573477636.2499
MEM 12.734375 1573477636.3505
MEM 20.355469 1573477636.4509
MEM 25.503906 1573477636.5512
MEM 31.687500 1573477636.6516
MEM 39.582031 1573477636.7521
MEM 55.796875 1573477636.8525
MEM 60.269531 1573477636.9529
MEM 60.269531 1573477637.0533
MEM 60.269531 1573477637.1538
MEM 60.269531 1573477637.2543
MEM 60.269531 1573477637.3549
MEM 60.269531 1573477637.4553
MEM 60.269531 1573477637.5557
MEM 60.269531 1573477637.6560
MEM 60.269531 1573477637.7564
MEM 60.269531 1573477637.8567
MEM 60.269531 1573477637.9571
MEM 60.269531 1573477638.0576
MEM 60.269531 1573477638.1580
MEM 60.269531 1573477638.2584
MEM 60.269531 1573477638.3588
MEM 60.269531 1573477638.4592
MEM 60.269531 1573477638.5596
MEM 60.269531 1573477638.6600
MEM 60.269531 1573477638.7603
MEM 60.269531 1573477638.8607
MEM 60.269531 1573477638.9610
MEM 60.269531 1573477639.0615
MEM 60.269531 1573477639.1619
MEM 60.269531 1573477639.2623
MEM 60.269531 1573477639.3627
MEM 60.269531 1573477639.4631
MEM 60.269531 1573477639.5635
MEM 60.269531 1573477639.6639
MEM 60.269531 1573477639.7643
MEM 60.269531 1573477639.8647
MEM 60.269531 1573477639.9652
MEM 60.269531 1573477640.0657
MEM 60.269531 1573477640.1669
MEM 60.269531 1573477640.2675
MEM 60.269531 1573477640.3679
MEM 60.269531 1573477640.4684
MEM 60.269531 1573477640.5688
MEM 60.269531 1573477640.6693
MEM 60.269531 1573477640.7698
MEM 60.269531 1573477640.8703
MEM 60.269531 1573477640.9707
MEM 60.269531 1573477641.0712
MEM 60.269531 1573477641.1716
MEM 60.269531 1573477641.2721
FUNC __main__.naive_gradient_descent 51.5820 1573477636.8420 55.0586 1573477643.6423 0
FUNC __main__.broadcast_gradient_descent 55.0586 1573477643.6424 66.9336 1573477643.7515 0
MEM 60.269531 1573477641.3726
MEM 60.269531 1573477641.4731
MEM 60.269531 1573477641.5736
MEM 60.269531 1573477641.6741
MEM 60.269531 1573477641.7746
MEM 60.269531 1573477641.8751
MEM 60.269531 1573477641.9755
MEM 60.269531 1573477642.0760
MEM 60.269531 1573477642.1764
MEM 60.269531 1573477642.2769
MEM 60.269531 1573477642.3773
MEM 60.269531 1573477642.4778
MEM 60.269531 1573477642.5783
MEM 60.269531 1573477642.6787
MEM 60.269531 1573477642.7792
MEM 60.269531 1573477642.8796
MEM 60.269531 1573477642.9801
MEM 60.269531 1573477643.0805
MEM 60.269531 1573477643.1810
MEM 60.269531 1573477643.2814
MEM 60.269531 1573477643.3819
MEM 60.269531 1573477643.4824
MEM 60.269531 1573477643.5829
MEM 82.035156 1573477643.6836
MEM 66.933594 1573477643.7841
MEM 66.933594 1573477643.8854
