CMDLINE /home/khanhnd/anaconda3/bin/python profile_gd.py
MEM 1.777344 1574428853.2257
MEM 12.632812 1574428853.3261
MEM 20.632812 1574428853.4264
MEM 26.054688 1574428853.5268
MEM 32.101562 1574428853.6272
MEM 46.812500 1574428853.7277
MEM 60.531250 1574428853.8282
MEM 60.531250 1574428853.9285
MEM 60.531250 1574428854.0290
MEM 60.531250 1574428854.1293
MEM 60.531250 1574428854.2297
MEM 60.531250 1574428854.3301
MEM 60.531250 1574428854.4305
MEM 60.531250 1574428854.5309
MEM 60.531250 1574428854.6314
MEM 60.531250 1574428854.7318
MEM 60.531250 1574428854.8323
MEM 60.531250 1574428854.9326
MEM 60.531250 1574428855.0330
MEM 60.531250 1574428855.1333
MEM 60.531250 1574428855.2338
MEM 60.531250 1574428855.3342
MEM 60.531250 1574428855.4345
MEM 60.531250 1574428855.5350
MEM 60.531250 1574428855.6353
MEM 60.531250 1574428855.7357
MEM 60.531250 1574428855.8362
MEM 60.531250 1574428855.9365
MEM 60.531250 1574428856.0369
MEM 60.531250 1574428856.1372
MEM 60.531250 1574428856.2377
MEM 60.531250 1574428856.3380
MEM 60.531250 1574428856.4384
MEM 60.531250 1574428856.5388
MEM 60.531250 1574428856.6392
MEM 60.531250 1574428856.7396
MEM 60.531250 1574428856.8400
MEM 60.531250 1574428856.9403
MEM 60.531250 1574428857.0408
MEM 60.531250 1574428857.1411
MEM 60.531250 1574428857.2415
MEM 60.531250 1574428857.3419
MEM 60.531250 1574428857.4422
MEM 60.531250 1574428857.5426
MEM 60.531250 1574428857.6431
MEM 60.531250 1574428857.7434
MEM 60.531250 1574428857.8439
MEM 60.531250 1574428857.9442
MEM 60.531250 1574428858.0446
MEM 60.531250 1574428858.1450
MEM 60.531250 1574428858.2454
FUNC __main__.naive_gradient_descent 51.9883 1574428853.7706 60.5312 1574428859.5283 0
FUNC __main__.broadcast_gradient_descent 55.1992 1574428859.5288 86.6289 1574428859.6204 0
FUNC __main__.matmul_gradient_descent 67.2734 1574428859.6217 81.3711 1574428859.6438 0
MEM 60.531250 1574428858.3458
MEM 60.531250 1574428858.4462
MEM 60.531250 1574428858.5466
MEM 60.531250 1574428858.6470
MEM 60.531250 1574428858.7474
MEM 60.531250 1574428858.8479
MEM 60.531250 1574428858.9482
MEM 60.531250 1574428859.0486
MEM 60.531250 1574428859.1489
MEM 60.531250 1574428859.2493
MEM 60.531250 1574428859.3496
MEM 60.531250 1574428859.4501
MEM 66.281250 1574428859.5506
MEM 81.371094 1574428859.6511
