,name,year,event,score
1787,"Alexander, MAJOROV",2017,RU,192.14
1790,"Sergei, VORONOV",2017,CN,243.76
1747,"Boyang, JIN",2017,US,245.08
1798,"Yuzuru, HANYU",2017,JP,301.47
1769,"Takahito, MURA",2017,FR,248.42
