CMDLINE /home/khanhnd/anaconda3/bin/python profile_gd.py
MEM 1.839844 1573477398.6068
MEM 12.691406 1573477398.7072
MEM 19.843750 1573477398.8075
MEM 24.757812 1573477398.9079
MEM 30.535156 1573477399.0083
MEM 32.921875 1573477399.1087
MEM 36.203125 1573477399.2091
MEM 37.718750 1573477399.3097
MEM 38.488281 1573477399.4102
MEM 46.812500 1573477399.5109
MEM 60.488281 1573477399.6113
MEM 60.488281 1573477399.7117
MEM 60.488281 1573477399.8120
MEM 60.488281 1573477399.9124
MEM 60.488281 1573477400.0128
MEM 60.488281 1573477400.1131
MEM 60.488281 1573477400.2135
MEM 60.488281 1573477400.3139
MEM 60.488281 1573477400.4142
MEM 60.488281 1573477400.5146
MEM 60.488281 1573477400.6150
MEM 60.488281 1573477400.7154
MEM 60.488281 1573477400.8158
MEM 60.488281 1573477400.9161
MEM 60.488281 1573477401.0165
MEM 60.488281 1573477401.1169
MEM 60.488281 1573477401.2172
MEM 60.488281 1573477401.3177
MEM 60.488281 1573477401.4181
MEM 60.488281 1573477401.5188
MEM 60.488281 1573477401.6197
MEM 60.488281 1573477401.7201
MEM 60.488281 1573477401.8205
MEM 60.488281 1573477401.9209
MEM 60.488281 1573477402.0213
MEM 60.488281 1573477402.1218
MEM 60.488281 1573477402.2222
MEM 60.488281 1573477402.3228
MEM 60.488281 1573477402.4232
MEM 60.488281 1573477402.5236
MEM 60.488281 1573477402.6239
MEM 60.488281 1573477402.7243
MEM 60.488281 1573477402.8246
MEM 60.488281 1573477402.9250
MEM 60.488281 1573477403.0254
MEM 60.488281 1573477403.1257
MEM 60.488281 1573477403.2261
MEM 60.488281 1573477403.3265
MEM 60.488281 1573477403.4269
MEM 60.488281 1573477403.5273
MEM 60.488281 1573477403.6276
FUNC __main__.naive_gradient_descent 51.9062 1573477399.5667 55.2031 1573477405.7365 0
FUNC __main__.broadcast_gradient_descent 55.2031 1573477405.7367 67.0938 1573477405.8364 0
MEM 60.488281 1573477403.7281
MEM 60.488281 1573477403.8286
MEM 60.488281 1573477403.9290
MEM 60.488281 1573477404.0294
MEM 60.488281 1573477404.1298
MEM 60.488281 1573477404.2302
MEM 60.488281 1573477404.3307
MEM 60.488281 1573477404.4312
MEM 60.488281 1573477404.5317
MEM 60.488281 1573477404.6321
MEM 60.488281 1573477404.7325
MEM 60.488281 1573477404.8329
MEM 60.488281 1573477404.9334
MEM 60.488281 1573477405.0339
MEM 60.488281 1573477405.1343
MEM 60.488281 1573477405.2347
MEM 60.488281 1573477405.3351
MEM 60.488281 1573477405.4355
MEM 60.488281 1573477405.5359
MEM 60.488281 1573477405.6364
MEM 55.203125 1573477405.7368
MEM 67.093750 1573477405.8372
