,name,year,event,score,event_score,skater_score,avg,baseline,baseline_event,predicted,residual
1810,"Nathan, CHEN",2017,FN,282.85,-14.152518786737346,27.60670625968305,281.005,262.83064920747165,248.6781304207343,276.28483668041736,-6.565163319582666
1811,"Shoma, UNO",2017,FN,282.51,-14.152518786737346,26.752743367645962,283.7425,262.83064920747165,248.6781304207343,275.43087378838027,-7.079126211619723
1812,"Javier, FERNANDEZ",2017,FN,268.77,-14.152518786737346,27.616843465178135,285.4925,262.83064920747165,248.6781304207343,276.29497388591244,7.524973885912459
1813,"Patrick, CHAN",2017,FN,266.75,-14.152518786737346,15.395004999973935,270.35,262.83064920747165,248.6781304207343,264.07313542070824,-2.6768645792917596
1814,"Adam, RIPPON",2017,FN,233.1,-14.152518786737346,0.0,254.02,262.83064920747165,248.6781304207343,248.6781304207343,15.578130420734311
1815,"Javier, FERNANDEZ",2017,EU,294.84,6.6043229257852545,27.616843465178135,285.4925,262.83064920747165,269.4349721332569,297.05181559843504,2.2118155984350665
1816,"Maxim, KOVTUN",2017,EU,266.8,6.6043229257852545,-22.34658277156268,239.66,262.83064920747165,269.4349721332569,247.08838936169423,-19.711610638305785
1817,"Mikhail, KOLYADA",2017,EU,250.18,6.6043229257852545,-17.805914929417668,240.39000000000001,262.83064920747165,269.4349721332569,251.62905720383924,1.4490572038392315
1818,"Jorik, HENDRICKX",2017,EU,242.56,6.6043229257852545,-28.292280570842195,232.64666666666668,262.83064920747165,269.4349721332569,241.1426915624147,-1.417308437585291
1819,"Alexei, BYCHENKO",2017,EU,239.24,6.6043229257852545,-16.65258159608402,241.54333333333332,262.83064920747165,269.4349721332569,252.7823905371729,13.542390537172878
1820,"Moris, KVITELASHVILI",2017,EU,238.2,6.6043229257852545,-31.23497213326482,238.2,262.83064920747165,269.4349721332569,238.1999999999921,-7.901235221652314e-12
1821,"Deniss, VASILJEVS",2017,EU,235.2,6.6043229257852545,-37.295914929407445,220.9,262.83064920747165,269.4349721332569,232.13905720384946,-3.0609427961505276
1822,"Alexander, SAMARIN",2017,EU,230.87,6.6043229257852545,-38.56497213326111,230.87,262.83064920747165,269.4349721332569,230.8699999999958,-4.206412995699793e-12
1823,"Chafik, BESSEGHIER",2017,EU,227.59,6.6043229257852545,-35.41149857284927,225.53,262.83064920747165,269.4349721332569,234.02347356040764,6.433473560407634
1824,"Paul, FENTZ",2017,EU,225.85,6.6043229257852545,-43.584972133261545,225.85,262.83064920747165,269.4349721332569,225.84999999999536,-4.632738637155853e-12
1825,"Alexander, MAJOROV",2017,EU,217.98,6.6043229257852545,-58.771961293441564,205.06,262.83064920747165,269.4349721332569,210.66301083981534,-7.316989160184647
1826,"Michal, BREZINA",2017,EU,215.52,6.6043229257852545,-41.0120575017163,218.23666666666668,262.83064920747165,269.4349721332569,228.4229146315406,12.902914631540597
1827,"Ivan, RIGHINI",2017,EU,210.15,6.6043229257852545,-64.31777263247659,197.98000000000002,262.83064920747165,269.4349721332569,205.11719950078032,-5.0328004992196895
1828,"Ivan, PAVLOV",2017,EU,202.87,6.6043229257852545,-66.56497213325747,202.87,262.83064920747165,269.4349721332569,202.86999999999944,-5.684341886080801e-13
1829,"Kevin, AYMOZ",2017,EU,199.47,6.6043229257852545,-69.96497213326074,199.47,262.83064920747165,269.4349721332569,199.46999999999616,-3.836930773104541e-12
1830,"Graham, NEWBERRY",2017,EU,198.06,6.6043229257852545,-71.37497213326242,198.06,262.83064920747165,269.4349721332569,198.0599999999945,-5.5138116294983774e-12
1831,"Stephane, WALKER",2017,EU,196.74,6.6043229257852545,-72.69497213326304,196.74,262.83064920747165,269.4349721332569,196.73999999999387,-6.139089236967266e-12
1832,"Javier, RAYA",2017,EU,195.54,6.6043229257852545,-73.89497213326649,195.54,262.83064920747165,269.4349721332569,195.5399999999904,-9.57811607804615e-12
1833,"Maurizio, ZANDRON",2017,EU,186.4,6.6043229257852545,-83.03497213326227,186.4,262.83064920747165,269.4349721332569,186.39999999999463,-5.3717030823463574e-12
1834,"Jiri, BELOHRADSKY",2017,EU,181.62,6.6043229257852545,-87.81497213326384,181.62,262.83064920747165,269.4349721332569,181.61999999999307,-6.934897101018578e-12
1835,"Slavik, HAYRAPETYAN",2017,EU,180.78,6.6043229257852545,-88.65497213325943,180.78,262.83064920747165,269.4349721332569,180.77999999999747,-2.5295321393059567e-12
1836,"Daniel Albert, NAURITS",2017,EU,176.1,6.6043229257852545,-93.33497213326154,176.1,262.83064920747165,269.4349721332569,176.09999999999536,-4.632738637155853e-12
1837,"Valtter, VIRTANEN",2017,EU,164.09,6.6043229257852545,-105.34497213326176,164.09,262.83064920747165,269.4349721332569,164.08999999999514,-4.860112312599085e-12
1838,"Sondre, ODDVOLL BOE",2017,EU,162.85,6.6043229257852545,-106.58497213326064,162.85,262.83064920747165,269.4349721332569,162.84999999999627,-3.723243935382925e-12
1839,"Nathan, CHEN",2017,4C,307.46,0.0,27.60670625968305,281.005,262.83064920747165,262.83064920747165,290.4373554671547,-17.022644532845277
1840,"Yuzuru, HANYU",2017,4C,303.71,0.0,38.439919383088636,290.53499999999997,262.83064920747165,262.83064920747165,301.2705685905603,-2.439431409439692
1841,"Shoma, UNO",2017,4C,288.05,0.0,26.752743367645962,283.7425,262.83064920747165,262.83064920747165,289.5833925751176,1.5333925751176025
1842,"Patrick, CHAN",2017,4C,267.98,0.0,15.395004999973935,270.35,262.83064920747165,262.83064920747165,278.2256542074456,10.245654207445568
1843,"Boyang, JIN",2017,4C,267.51,0.0,3.904858203699405,263.71,262.83064920747165,262.83064920747165,266.73550741117106,-0.7744925888289345
1844,"Jason, BROWN",2017,4C,245.85,0.0,-11.758589285478593,244.23333333333335,262.83064920747165,262.83064920747165,251.07205992199306,5.222059921993065
1845,"Misha, GE",2017,4C,239.41,0.0,-24.466314325736676,231.51333333333332,262.83064920747165,262.83064920747165,238.36433488173498,-1.0456651182650205
1846,"Nam, NGUYEN",2017,4C,237.08,0.0,-26.401922618810204,229.59,262.83064920747165,262.83064920747165,236.42872658866145,-0.6512734113385648
1847,"Grant, HOCHSTEIN",2017,4C,235.72,0.0,-42.63073068230642,210.60333333333335,262.83064920747165,262.83064920747165,220.19991852516523,-15.520081474834768
1848,"Han, YAN",2017,4C,235.45,0.0,-32.130616526455924,224.91666666666666,262.83064920747165,262.83064920747165,230.70003268101573,-4.749967318984261
1849,"Brendan, KERRY",2017,4C,227.39,0.0,-45.88750626224555,212.85,262.83064920747165,262.83064920747165,216.9431429452261,-10.446857054773886
1850,"Kevin, REYNOLDS",2017,4C,222.31,0.0,-22.704184922764398,233.685,262.83064920747165,262.83064920747165,240.12646428470725,17.81646428470725
1851,"Keiji, TANAKA",2017,4C,220.18,0.0,-24.817807287486175,231.17666666666665,262.83064920747165,262.83064920747165,238.01284191998548,17.83284191998547
1852,"Michael Christian, MARTINEZ",2017,4C,214.15,0.0,-48.68064920747565,214.15,262.83064920747165,262.83064920747165,214.149999999996,-4.007461029686965e-12
1853,"Julian Zhi Jie, YEE",2017,4C,202.67,0.0,-60.16064920747431,202.67,262.83064920747165,262.83064920747165,202.66999999999734,-2.6432189770275727e-12
1854,"Sihyeong, LEE",2017,4C,195.72,0.0,-67.11064920746867,195.72,262.83064920747165,262.83064920747165,195.72000000000298,2.9842794901924208e-12
1855,"Jinseo, KIM",2017,4C,195.05,0.0,-67.78064920747238,195.05,262.83064920747165,262.83064920747165,195.04999999999927,-7.389644451905042e-13
1856,"June Hyoung, LEE",2017,4C,187.58,0.0,-75.25064920747172,187.58,262.83064920747165,262.83064920747165,187.57999999999993,-8.526512829121202e-14
1857,"Chih-I, TSAO",2017,4C,169.63,0.0,-93.20064920747336,169.63,262.83064920747165,262.83064920747165,169.6299999999983,-1.7053025658242404e-12
1858,"Andrew, DODDS",2017,4C,162.05,0.0,-100.78064920747329,162.05,262.83064920747165,262.83064920747165,162.04999999999836,-1.6484591469634324e-12
1859,"Mark, WEBSTER",2017,4C,160.03,0.0,-102.80064920747554,160.03,262.83064920747165,262.83064920747165,160.0299999999961,-3.893774191965349e-12
1860,"Leslie, IP",2017,4C,146.74,0.0,-116.09064920747733,146.74,262.83064920747165,262.83064920747165,146.73999999999432,-5.6843418860808015e-12
1861,"Kai Xiang, CHEW",2017,4C,138.46,0.0,-124.37064920747434,138.46,262.83064920747165,262.83064920747165,138.4599999999973,-2.7000623958883807e-12
1862,"Micah, TANG",2017,4C,135.79,0.0,-127.04064920747442,135.79,262.83064920747165,262.83064920747165,135.78999999999724,-2.7569058147491887e-12
