name,score,event,year,last_name,first_name,full_name
Shizuka ARAKAWA,160.24,FN,2005,ARAKAWA,Shizuka,"Shizuka, ARAKAWA"
Joannie ROCHETTE,156.68,FN,2005,ROCHETTE,Joannie,"Joannie, ROCHETTE"
Miki ANDO,151.1,FN,2005,ANDO,Miki,"Miki, ANDO"
Yoshie ONDA,138.22,FN,2005,ONDA,Yoshie,"Yoshie, ONDA"
Cynthia PHANEUF,134.06,FN,2005,PHANEUF,Cynthia,"Cynthia, PHANEUF"
SLUTSKAYA Irina,168.71,EU,2005,SLUTSKAYA,Irina,"Irina, SLUTSKAYA"
POYKIO Susanna,158.93,EU,2005,POYKIO,Susanna,"Susanna, POYKIO"
LIASHENKO Elena,158.02,EU,2005,LIASHENKO,Elena,"Elena, LIASHENKO"
SEBESTYEN Julia,157.13,EU,2005,SEBESTYEN,Julia,"Julia, SEBESTYEN"
SOKOLOVA Elena,150.88,EU,2005,SOKOLOVA,Elena,"Elena, SOKOLOVA"
MANIACHENKO Galina,145.86,EU,2005,MANIACHENKO,Galina,"Galina, MANIACHENKO"
KOSTNER Carolina,142.71,EU,2005,KOSTNER,Carolina,"Carolina, KOSTNER"
TIMOSHENKO Daria,132.19,EU,2005,TIMOSHENKO,Daria,"Daria, TIMOSHENKO"
HEGEL Idora,132.01,EU,2005,HEGEL,Idora,"Idora, HEGEL"
MEIER Sarah,129.63,EU,2005,MEIER,Sarah,"Sarah, MEIER"
KETTUNEN Elina,128.58,EU,2005,KETTUNEN,Elina,"Elina, KETTUNEN"
DYTRT Annette,127.13,EU,2005,DYTRT,Annette,"Annette, DYTRT"
KORPI Kiira,125.46,EU,2005,KORPI,Kiira,"Kiira, KORPI"
MAXWELL Fleur,123.24,EU,2005,MAXWELL,Fleur,"Fleur, MAXWELL"
LUCA Roxana,121.22,EU,2005,LUCA,Roxana,"Roxana, LUCA"
McCORKELL Jenna,120.91,EU,2005,MCCORKELL,Jenna,"Jenna, MCCORKELL"
JOHANSSON Lina,110.04,EU,2005,JOHANSSON,Lina,"Lina, JOHANSSON"
POTH Diana,108.89,EU,2005,POTH,Diana,"Diana, POTH"
KARADEMIR Tugba,106.98,EU,2005,KARADEMIR,Tugba,"Tugba, KARADEMIR"
VENHUIZEN Karen,105.45,EU,2005,VENHUIZEN,Karen,"Karen, VENHUIZEN"
DIDIER Candice,102.87,EU,2005,DIDIER,Candice,"Candice, DIDIER"
RADEVA Sonia,101.84,EU,2005,RADEVA,Sonia,"Sonia, RADEVA"
KREUZER Andrea,92.82,EU,2005,KREUZER,Andrea,"Andrea, KREUZER"
PADAR Bianka,92.18,EU,2005,PADAR,Bianka,"Bianka, PADAR"
Fumie SUGURI,178.66,4C,2005,SUGURI,Fumie,"Fumie, SUGURI"
Yoshie ONDA,166.8,4C,2005,ONDA,Yoshie,"Yoshie, ONDA"
Jennifer KIRK,148.06,4C,2005,KIRK,Jennifer,"Jennifer, KIRK"
Joanne CARTER,134.09,4C,2005,CARTER,Joanne,"Joanne, CARTER"
Lesley HAWKER,133.2,4C,2005,HAWKER,Lesley,"Lesley, HAWKER"
Amber CORWIN,132.36,4C,2005,CORWIN,Amber,"Amber, CORWIN"
Beatrisa LIANG,130.78,4C,2005,LIANG,Beatrisa,"Beatrisa, LIANG"
Yan LIU,128.5,4C,2005,LIU,Yan,"Yan, LIU"
Miriam MANZANO,122.72,4C,2005,MANZANO,Miriam,"Miriam, MANZANO"
Ji Eun CHOI,122.68,4C,2005,CHOI,Ji Eun,"Ji Eun, CHOI"
Yukari NAKANO,121.74,4C,2005,NAKANO,Yukari,"Yukari, NAKANO"
Dan FANG,120.56,4C,2005,FANG,Dan,"Dan, FANG"
Vicky BOISSONNEAULT,119.06,4C,2005,BOISSONNEAULT,Vicky,"Vicky, BOISSONNEAULT"
Chae-Hwa KIM,117.84,4C,2005,KIM,Chae-Hwa,"Chae-Hwa, KIM"
Na HOU,112.26,4C,2005,HOU,Na,"Na, HOU"
Michelle CANTU,93.99,4C,2005,CANTU,Michele,"Michele, CANTU"
Yea-Ji SHIN,91.92,4C,2005,SHIN,Yea-Ji,"Yea-Ji, SHIN"
Shirene HUMAN,88.0,4C,2005,HUMAN,Shirene,"Shirene, HUMAN"
Diane CHEN,86.02,4C,2005,CHEN,Diane,"Diane, CHEN"
Jenna-Anne BUYS,82.38,4C,2005,BUYS,Jenna-Anne,"Jenna-Anne, BUYS"
Sarah-Yvonne PRYTULA,82.16,4C,2005,PRYTULA,Sarah-Yvonne,"Sarah-Yvonne, PRYTULA"
Ana Cecilia CANTU,81.88,4C,2005,CANTU,Ana Cecilia,"Ana Cecilia, CANTU"
Gladys OROZCO,79.03,4C,2005,OROZCO,Gladys,"Gladys, OROZCO"
Shirley Hsin Hui TSAI,66.28,4C,2005,TSAI,Shirley Hsin Hui,"Shirley Hsin Hui, TSAI"
Irina SLUTSKAYA,222.71,WR,2005,SLUTSKAYA,Irina,"Irina, SLUTSKAYA"
Sasha COHEN,214.39,WR,2005,COHEN,Sasha,"Sasha, COHEN"
Carolina KOSTNER,200.56,WR,2005,KOSTNER,Carolina,"Carolina, KOSTNER"
Michelle KWAN,200.19,WR,2005,KWAN,Michele,"Michele, KWAN"
Fumie SUGURI,196.01,WR,2005,SUGURI,Fumie,"Fumie, SUGURI"
Miki ANDO,193.14,WR,2005,ANDO,Miki,"Miki, ANDO"
Elena SOKOLOVA,189.48,WR,2005,SOKOLOVA,Elena,"Elena, SOKOLOVA"
Susanna POYKIO,187.67,WR,2005,POYKIO,Susanna,"Susanna, POYKIO"
Shizuka ARAKAWA,185.73,WR,2005,ARAKAWA,Shizuka,"Shizuka, ARAKAWA"
Elena LIASHENKO,174.18,WR,2005,LIASHENKO,Elena,"Elena, LIASHENKO"
Joannie ROCHETTE,172.99,WR,2005,ROCHETTE,Joannie,"Joannie, ROCHETTE"
Julia SEBESTYEN,167.56,WR,2005,SEBESTYEN,Julia,"Julia, SEBESTYEN"
Idora HEGEL,164.97,WR,2005,HEGEL,Idora,"Idora, HEGEL"
Sarah MEIER,164.68,WR,2005,MEIER,Sarah,"Sarah, MEIER"
Annette DYTRT,163.49,WR,2005,DYTRT,Annette,"Annette, DYTRT"
