name,score,event,year
Alissa CZISNY,168.32,CA,2006
Joannie ROCHETTE,158.3,CA,2006
Yukari NAKANO,149.54,CA,2006
Yan LIU,142.58,CA,2006
Sarah MEIER,141.78,CA,2006
Mira LEUNG,134.3,CA,2006
Carolina KOSTNER,132.64,CA,2006
Fumie SUGURI,132.0,CA,2006
Lesley HAWKER,127.8,CA,2006
Joanne CARTER,116.7,CA,2006
Mao ASADA,182.42,FR,2006
Sasha COHEN,175.12,FR,2006
Shizuka ARAKAWA,173.3,FR,2006
Joannie ROCHETTE,167.22,FR,2006
Kimmie MEISSNER,155.72,FR,2006
Elena SOKOLOVA,152.52,FR,2006
Annette DYTRT,131.88,FR,2006
Galina EFREMENKO,107.98,FR,2006
Anne Sophie CALVEZ,102.9,FR,2006
Fleur MAXWELL,102.44,FR,2006
Nadege BOBILLIER,101.96,FR,2006
Irina SLUTSKAYA,198.06,RU,2006
Miki ANDO,172.3,RU,2006
Yoshie ONDA,142.4,RU,2006
Susanna PÖYKIÖ,131.3,RU,2006
Emily HUGHES,125.76,RU,2006
Julia SEBESTYEN,124.38,RU,2006
Anastasia GIMAZETDINOVA,121.96,RU,2006
Amber CORWIN,115.0,RU,2006
Na HOU,107.62,RU,2006
Tatiana BASOVA,102.76,RU,2006
Irina SLUTSKAYA,196.12,CN,2006
Mao ASADA,176.6,CN,2006
Shizuka ARAKAWA,173.6,CN,2006
Elena LIASHENKO,160.7,CN,2006
Yan LIU,145.92,CN,2006
Viktoria PAVUK,129.84,CN,2006
Dan FANG,122.54,CN,2006
Na HOU,106.34,CN,2006
Idora HEGEL,104.78,CN,2006
Amber CORWIN,91.06,CN,2006
Yukari NAKANO,158.66,JP,2006
Fumie SUGURI,158.48,JP,2006
Elena LIASHENKO,156.52,JP,2006
Miki ANDO,154.34,JP,2006
Kimmie MEISSNER,152.18,JP,2006
Carolina KOSTNER,145.42,JP,2006
Sarah MEIER,142.56,JP,2006
Annette DYTRT,125.38,JP,2006
Viktoria PAVUK,125.04,JP,2006
Karen VENHUIZEN,105.56,JP,2006
Miriam MANZANO,103.3,JP,2006
Mao ASADA,189.62,FN,2006
Irina SLUTSKAYA,181.48,FN,2006
Yukari NAKANO,161.82,FN,2006
Miki ANDO,157.3,FN,2006
Elena SOKOLOVA,150.08,FN,2006
Alissa CZISNY,140.9,FN,2006
Irina SLUTSKAYA,193.24,EU,2006
Elena SOKOLOVA,177.81,EU,2006
Carolina KOSTNER,172.45,EU,2006
Sarah MEIER,167.16,EU,2006
Elene GEDEVANISHVILI,153.27,EU,2006
Kiira KORPI,146.37,EU,2006
Susanna PÖYKIÖ,144.75,EU,2006
Alisa DREI,141.55,EU,2006
Viktoria VOLCHKOVA,131.88,EU,2006
Annette DYTRT,131.11,EU,2006
Idora HEGEL,127.15,EU,2006
Viktoria PAVUK,126.88,EU,2006
Tugba KARADEMIR,124.72,EU,2006
Julia SEBESTYEN,121.9,EU,2006
Elena GLEBOVA,116.59,EU,2006
Sonia RADEVA,114.24,EU,2006
Nadege BOBILLIER,112.88,EU,2006
Andrea KREUZER,111.95,EU,2006
Valentina MARCHEI,111.66,EU,2006
Teodora POSTIC,111.15,EU,2006
Martine ZUIDERWIJK,104.77,EU,2006
Ekaterina PROYDA,96.47,EU,2006
Jacqueline BELENYESIOVA,94.93,EU,2006
Lina JOHANSSON,90.61,EU,2006
Katy TAYLOR,164.05,4C,2006
Yukari NAKANO,161.49,4C,2006
Beatrisa LIANG,159.91,4C,2006
Lesley HAWKER,145.94,4C,2006
Meagan DUHAMEL,145.28,4C,2006
Mai ASADA,141.65,4C,2006
Yan LIU,138.55,4C,2006
Joanne CARTER,133.97,4C,2006
Akiko KITAMURA,132.04,4C,2006
Christine ZUKOWSKI,131.42,4C,2006
Amelie LACOSTE,127.29,4C,2006
Miriam MANZANO,114.37,4C,2006
Ji Eun CHOI,112.42,4C,2006
Chae-Hwa KIM,112.0,4C,2006
Dan FANG,105.67,4C,2006
Michelle CANTU,99.07,4C,2006
Yea-Ji SHIN,92.36,4C,2006
Ana Cecilia CANTU,92.22,4C,2006
Tammy SUTAN,90.8,4C,2006
Emily NAPHTAL,82.55,4C,2006
Diane CHEN,80.61,4C,2006
Laura DOWNING,73.42,4C,2006
Megan ALLELY,64.23,4C,2006
ARAKAWA Shizuka,191.34,OL,2006
COHEN Sasha,183.36,OL,2006
SLUTSKAYA Irina,181.44,OL,2006
SUGURI Fumie,175.23,OL,2006
ROCHETTE Joannie,167.27,OL,2006
MEISSNER Kimmie,165.71,OL,2006
HUGHES Emily,160.87,OL,2006
MEIER Sarah,156.13,OL,2006
KOSTNER Carolina,153.5,OL,2006
GEDEVANISHVILI Elene,151.46,OL,2006
LIU Yan,145.3,OL,2006
LEUNG Mira,145.16,OL,2006
POYKIO Susanna,143.22,OL,2006
SOKOLOVA Elena,142.35,OL,2006
ANDO Miki,140.2,OL,2006
KORPI Kiira,137.2,OL,2006
LIASHENKO Elena,134.08,OL,2006
SEBESTYEN Julia,129.26,OL,2006
HEGEL Idora,127.07,OL,2006
EFREMENKO Galina,125.37,OL,2006
KARADEMIR Tugba,123.64,OL,2006
FONTANA Silvia,120.37,OL,2006
PAVUK Viktoria,119.85,OL,2006
MAXWELL Fleur,109.57,OL,2006
Kimmie MEISSNER,218.33,WR,2006
Fumie SUGURI,209.74,WR,2006
Sasha COHEN,208.88,WR,2006
Elena SOKOLOVA,202.27,WR,2006
Yukari NAKANO,195.65,WR,2006
Sarah MEIER,195.11,WR,2006
Joannie ROCHETTE,189.41,WR,2006
Emily HUGHES,184.75,WR,2006
Susanna POYKIO,180.06,WR,2006
Kiira KORPI,176.65,WR,2006
Yoshie ONDA,172.46,WR,2006
Carolina KOSTNER,172.45,WR,2006
Mira LEUNG,168.8,WR,2006
Elene GEDEVANISHVILI,164.92,WR,2006
Idora HEGEL,163.58,WR,2006
Yan LIU,159.05,WR,2006
Amanda NYLANDER,154.08,WR,2006
Tugba KARADEMIR,153.25,WR,2006
Arina MARTINOVA,149.89,WR,2006
Galina EFREMENKO,149.65,WR,2006
Anastasia GIMAZETDINOVA,149.43,WR,2006
Julia SEBESTYEN,142.3,WR,2006
Valentina MARCHEI,141.51,WR,2006
Annette DYTRT,137.31,WR,2006
Miki ANDO,192.59,US,2007
Kimmie MEISSNER,177.78,US,2007
Mao ASADA,171.23,US,2007
Sarah MEIER,169.01,US,2007
Emily HUGHES,147.34,US,2007
Mai ASADA,138.29,US,2007
Kiira KORPI,132.93,US,2007
Mira LEUNG,128.07,US,2007
Valentina MARCHEI,116.81,US,2007
Michelle CANTU,108.04,US,2007
Katy TAYLOR,106.07,US,2007
Joannie ROCHETTE,173.86,CA,2007
Fumie SUGURI,168.76,CA,2007
Yu-Na KIM,168.48,CA,2007
Alissa CZISNY,163.69,CA,2007
Susanna POYKIO,161.58,CA,2007
Mira LEUNG,150.92,CA,2007
Yoshie ONDA,146.95,CA,2007
Binshu XU,142.7,CA,2007
Lesley HAWKER,136.68,CA,2007
Alisa DREI,121.65,CA,2007
Tugba KARADEMIR,112.09,CA,2007
Katy TAYLOR,110.57,CA,2007
Yu-Na KIM,184.54,FR,2007
Miki ANDO,174.44,FR,2007
Kimmie MEISSNER,158.03,FR,2007
Joannie ROCHETTE,151.52,FR,2007
Susanna POYKIO,148.81,FR,2007
Valentina MARCHEI,129.73,FR,2007
Christine ZUKOWSKI,123.59,FR,2007
Anne Sophie CALVEZ,123.26,FR,2007
Nadege BOBILLIER,109.88,FR,2007
Sonia RADEVA,95.74,FR,2007
Candice DIDIER,91.68,FR,2007
Sarah MEIER,159.17,RU,2007
Julia SEBESTYEN,146.75,RU,2007
Yoshie ONDA,143.6,RU,2007
Elena SOKOLOVA,143.11,RU,2007
Aki SAWADA,142.04,RU,2007
Kiira KORPI,137.41,RU,2007
Arina MARTINOVA,134.91,RU,2007
Viktoria VOLCHKOVA,130.83,RU,2007
Alissa CZISNY,121.21,RU,2007
Yan LIU,114.65,RU,2007
Anastasia GIMAZETDINOVA,114.12,RU,2007
Viktoria PAVUK,111.74,RU,2007
Julia SEBESTYEN,153.8,CN,2007
Yukari NAKANO,151.27,CN,2007
Emily HUGHES,151.12,CN,2007
Binshu XU,136.31,CN,2007
Beatrisa LIANG,134.99,CN,2007
Mai ASADA,134.27,CN,2007
Elena SOKOLOVA,134.17,CN,2007
Aki SAWADA,133.33,CN,2007
Yan LIU,125.23,CN,2007
Chae-Hwa KIM,115.19,CN,2007
Dan FANG,113.38,CN,2007
Roxana LUCA,100.83,CN,2007
Mao ASADA,199.52,JP,2007
Fumie SUGURI,179.31,JP,2007
Yukari NAKANO,160.93,JP,2007
Beatrisa LIANG,129.32,JP,2007
Christine ZUKOWSKI,127.94,JP,2007
Dan FANG,127.85,JP,2007
Arina MARTINOVA,127.23,JP,2007
Lesley HAWKER,120.85,JP,2007
Chae-Hwa KIM,117.87,JP,2007
Tugba KARADEMIR,112.59,JP,2007
